G1	<grk>Ἀλφα</grk> alpha
G5221	<grk>ὑπαντάω</grk> to go meet
G5222	<grk>ὑπάντησις</grk> meeting
G5223	<grk>ὕπαρξις</grk> property
G5224	<grk>ὑπάρχοντα</grk> possession
G5225	<grk>ὑπάρχω</grk> to be
G5226	<grk>ὑπείκω</grk> to submit
G5227	<grk>ὑπεναντίος</grk> opposed
G5228	<grk>ὑπέρ</grk> above/for
G5229	<grk>ὑπεραίρω</grk> be haughty
G5230	<grk>ὑπέρακμος</grk> past one’s prime
G5231	<grk>ὑπεράνω</grk> above
G5232	<grk>ὑπεραυξάνω</grk> to increase
G5233	<grk>ὑπερβαίνω</grk> to wrong
G5234	<grk>ὑπερβαλλόντως</grk> severely
G5235	<grk>ὑπερβάλλω</grk> to surpass
G5236	<grk>ὑπερβολή</grk> surpassing
G5237	<grk>ὑπερείδω</grk> to overlook
G5238	<grk>ὑπερέκεινα</grk> beyond
G5239	<grk>ὑπερεκτείνω</grk> to overextend
G5240	<grk>ὑπερεκχύνω</grk> to overflow
G5241	<grk>ὑπερεντυγχάνω</grk> to intercede
G5242	<grk>ὑπερέχω</grk> be higher
G5243	<grk>ὑπερηφανία</grk> pride
G5244	<grk>ὑπερήφανος</grk> arrogant
G5245	<grk>ὑπερνικάω</grk> to conquer
G5246	<grk>ὑπέρογκος</grk> boastful
G5247	<grk>ὑπεροχή</grk> authority
G5248	<grk>ὑπερπερισσεύω</grk> to abound
G5249	<grk>ὑπερπερισσῶς</grk> exceedingly
G5250	<grk>ὑπερπλεονάζω</grk> to abound
G5251	<grk>ὑπερυψόω</grk> to exalt
G5252	<grk>ὑπερφρονέω</grk> be haughty
G5253	<grk>ὑπερῷον</grk> upper room
G5254	<grk>ὑπέχω</grk> to undergo
G5255	<grk>ὑπήκοος</grk> obedient
G5256	<grk>ὑπηρετέω</grk> to serve
G5257	<grk>ὑπηρέτης</grk> servant
G5258	<grk>ὕπνος</grk> sleep
G5259	<grk>ὑπό</grk> by/under
G5260	<grk>ὑποβάλλω</grk> to instigate
G5261	<grk>ὑπογραμμός</grk> example
G5262	<grk>ὑπόδειγμα</grk> example
G5263	<grk>ὑποδείκνυμι</grk> to show
G5264	<grk>ὑποδέχομαι</grk> to receive
G5265	<grk>ὑποδέω</grk> to put on
G5266	<grk>ὑπόδημα</grk> sandal
G5267	<grk>ὑπόδικος</grk> accountable
G5268	<grk>ὑποζύγιον</grk> donkey
G5269	<grk>ὑποζώννυμι</grk> to undergird
G5270	<grk>ὑποκάτω</grk> under
G5271	<grk>ὑποκρίνω</grk> to pretend
G5272	<grk>ὑπόκρισις</grk> hypocrisy
G5273	<grk>ὑποκριτής</grk> hypocrite
G5274	<grk>ὑπολαμβάνω</grk> to take up/suppose
G5275	<grk>ὑπολείπω</grk> to leave
G5276	<grk>ὑπολήνιον</grk> trough
G5277	<grk>ὑπολιμπάνω</grk> to leave behind
G5278	<grk>ὑπομένω</grk> to remain/endure
G5279	<grk>ὑπομιμνήσκω</grk> to remind
G5280	<grk>ὑπόμνησις</grk> remembrance
G5281	<grk>ὑπομονή</grk> perseverance
G5282	<grk>ὑπονοέω</grk> to suppose
G5283	<grk>ὑπόνοια</grk> suspicion
G5284	<grk>ὑποπλέω</grk> to sail the lee
G5285	<grk>ὑποπνέω</grk> to blow gently
G5286	<grk>ὑποπόδιον</grk> footstool
G5287	<grk>ὑπόστασις</grk> confidence/essence
G5288	<grk>ὑποστέλλω</grk> to withdraw
G5289	<grk>ὑποστολή</grk> shrinking
G5290	<grk>ὑποστρέφω</grk> to return
G5291	<grk>ὑποστρώννυμι</grk> to spread
G5292	<grk>ὑποταγή</grk> submission
G5293	<grk>ὑποτάσσω</grk> to subject
G5294	<grk>ὑποτίθημι</grk> to risk/teach
G5295	<grk>ὑποτρέχω</grk> to sail under
G5296	<grk>ὑποτύπωσις</grk> example
G5297	<grk>ὑποφέρω</grk> to endure
G5298	<grk>ὑποχωρέω</grk> to withdraw
G5299	<grk>ὑπωπιάζω</grk> to wear out
G5300	<grk>ὗς</grk> sow
G5301	<grk>ὕσσωπος</grk> hyssop
G5302	<grk>ὑστερέω</grk> to lack
G5303	<grk>ὑστέρημα</grk> deficiency
G5304	<grk>ὑστέρησις</grk> poverty
G5305	<grk>ὕστερον</grk> later
G5306	<grk>ὕστερος</grk> later
G5307	<grk>ὑφαντός</grk> woven
G5308	<grk>ὑψηλός</grk> high
G5309	<grk>ὑψηλοφρονέω</grk> be arrogant
G5310	<grk>ὕψιστος</grk> highest
G5311	<grk>ὕψος</grk> height
G5312	<grk>ὑψόω</grk> to lift up
G5313	<grk>ὕψωμα</grk> height
G5314	<grk>φάγος</grk> glutton
G5315	<grk>φαγεῖν</grk> to eat
G5316	<grk>φαίνω</grk> to shine/appear
G5317	<grk>Φάλεκ</grk> Peleg
G5318	<grk>φανερός</grk> manifest
G5319	<grk>φανερόω</grk> to manifest
G5320	<grk>φανερῶς</grk> plainly
G5321	<grk>φανέρωσις</grk> manifestation
G5322	<grk>φανός</grk> torch
G5323	<grk>Φανουήλ</grk> Phanuel
G5324	<grk>φαντάζω</grk> to make visible
G5325	<grk>φαντασία</grk> pageantry
G5326	<grk>φάντασμα</grk> ghost
G5327	<grk>φάραγξ</grk> valley
G5328	<grk>Φαραώ</grk> Pharaoh
G5329	<grk>Φάρες</grk> Perez
G5330	<grk>Φαρισαῖος</grk> Pharisee
G5331	<grk>φαρμακεία</grk> sorcery
G5332	<grk>φαρμακεύς</grk> sorcerer
G5333	<grk>φάρμακος</grk> sorcerer
G5334	<grk>φάσις</grk> news
G5335	<grk>φάσκω</grk> to claim
G5336	<grk>φάτνη</grk> manger
G5337	<grk>φαῦλος</grk> evil
G5338	<grk>φέγγος</grk> light
G5339	<grk>φείδομαι</grk> to spare
G5340	<grk>φειδομένως</grk> sparingly
G5341	<grk>φελόνης, φαιλόνης</grk> cloak
G5342	<grk>φέρω</grk> to bear/lead
G5343	<grk>φεύγω</grk> to flee
G5344	<grk>Φῆλιξ</grk> Felix
G5345	<grk>φήμη</grk> news
G5346	<grk>φημί</grk> to say
G5347	<grk>Φῆστος</grk> Festus
G5348	<grk>φθάνω</grk> to precede/arrive
G5349	<grk>φθαρτός</grk> perishable
G5350	<grk>φθέγγομαι</grk> to speak
G5351	<grk>φθείρω</grk> to destroy
G5352	<grk>φθινοπωρινός</grk> autumnal
G5353	<grk>φθόγγος</grk> sound
G5354	<grk>φθονέω</grk> to envy
G5355	<grk>φθόνος</grk> envy
G5356	<grk>φθορά</grk> corruption
G5357	<grk>φιάλη</grk> bowl
G5358	<grk>φιλάγαθος</grk> lover of good
G5359	<grk>Φιλαδέλφεια</grk> Philadelphia
G5360	<grk>φιλαδελφία</grk> brotherly love
G5361	<grk>φιλάδελφος</grk> loving the brothers
G5362	<grk>φίλανδρος</grk> husband-loving
G5363	<grk>φιλανθρωπία</grk> benevolence
G5364	<grk>φιλανθρώπως</grk> benevolently
G5365	<grk>φιλαργυρία</grk> love of money
G5366	<grk>φιλάργυρος</grk> money-loving
G5367	<grk>φίλαυτος</grk> selfish
G5368	<grk>φιλέω</grk> to love
G5369	<grk>φιλήδονος</grk> pleasure-loving
G5370	<grk>φίλημα</grk> kiss
G5371	<grk>Φιλήμων</grk> Philemon
G5372	<grk>Φίλητος</grk> Philetus
G5373	<grk>φιλία</grk> friendship
G5374	<grk>Φιλιππήσιος</grk> Philippian
G5375	<grk>Φίλιπποι</grk> Philippi
G5376	<grk>Φίλιππος</grk> Philip
G5377	<grk>φιλόθεος</grk> God-loving
G5378	<grk>Φιλόλογος</grk> Philologus
G5379	<grk>φιλονεικία</grk> love of dispute
G5380	<grk>φιλόνεικος</grk> dispute-loving
G5381	<grk>φιλοξενία</grk> hospitality
G5382	<grk>φιλόξενος</grk> hospitable
G5383	<grk>φιλοπρωτεύω</grk> to love to be first
G5384	<grk>φίλος</grk> friendly/friend
G5385	<grk>φιλοσοφία</grk> philosophy
G5386	<grk>φιλόσοφος</grk> philosopher
G5387	<grk>φιλόστοργος</grk> devoted
G5388	<grk>φιλότεκνος</grk> parental love
G5389	<grk>φιλοτιμέομαι</grk> to aspire
G5390	<grk>φιλοφρόνως</grk> hospitably
G5391	<grk>φιλόφρων</grk> friendly
G5392	<grk>φιμόω</grk> to muzzle
G5393	<grk>Φλέγων</grk> Phlegon
G5394	<grk>φλογίζω</grk> to kindle
G5395	<grk>φλόξ</grk> flame
G5396	<grk>φλυαρέω</grk> to talk nonsense
G5397	<grk>φλύαρος</grk> gossipy
G5398	<grk>φοβερός</grk> fearful
G5399	<grk>φοβέω</grk> to fear
G5400	<grk>φόβητρον</grk> fearful thing
G5401	<grk>φόβος</grk> fear
G5402	<grk>Φοίβη</grk> Phoebe
G5403	<grk>Φοινίκη</grk> Phoenicia
G5404	<grk>φοῖνιξ</grk> palm
G5405	<grk>Φοῖνιξ</grk> Phenice
G5406	<grk>φονεύς</grk> murderer
G5407	<grk>φονεύω</grk> to murder
G5408	<grk>φόνος</grk> murder
G5409	<grk>φορέω</grk> to wear
G5410	<grk>Φόρον</grk> forum
G5411	<grk>φόρος</grk> tax
G5412	<grk>φορτίζω</grk> to burden
G5413	<grk>φορτίον</grk> burden
G5414	<grk>φόρτος</grk> cargo
G5415	<grk>Φορτουνᾶτος</grk> Fortunatus
G5416	<grk>φραγέλλιον</grk> whip
G5417	<grk>φραγελλόω</grk> to whip
G5418	<grk>φραγμός</grk> fence
G5419	<grk>φράζω</grk> to explain
G5420	<grk>φράσσω</grk> to stop
G5421	<grk>φρέαρ</grk> well/abyss
G5422	<grk>φρεναπατάω</grk> to deceive
G5423	<grk>φρεναπάτης</grk> deceiver
G5424	<grk>φρήν</grk> thinking
G5425	<grk>φρίσσω</grk> to shudder
G5426	<grk>φρονέω</grk> to think
G5427	<grk>φρόνημα</grk> mind
G5428	<grk>φρόνησις</grk> understanding
G5429	<grk>φρόνιμος</grk> thoughtful
G5430	<grk>φρονίμως</grk> shrewdly
G5431	<grk>φροντίζω</grk> be careful
G5432	<grk>φρουρέω</grk> to guard
G5433	<grk>φρυάσσομαι</grk> to rage
G5434	<grk>φρύγανον</grk> brushwood
G5435	<grk>Φρυγία</grk> Phrygia
G5436	<grk>Φύγελλος</grk> Phygelus
G5437	<grk>φυγή</grk> flight
G5438	<grk>φυλακή</grk> prison/watch
G5439	<grk>φυλακίζω</grk> to imprison
G5440	<grk>φυλακτήριον</grk> phylactery
G5441	<grk>φυλακτήριος</grk> guard
G5442	<grk>φυλάσσω</grk> to keep/guard
G5443	<grk>φυλή</grk> tribe
G5444	<grk>φύλλον</grk> leaf
G5445	<grk>φύραμα</grk> lump
G5446	<grk>φυσικός</grk> natural
G5447	<grk>φυσικῶς</grk> physically
G5448	<grk>φυσιόω</grk> to inflate
G5449	<grk>φύσις</grk> nature
G5450	<grk>φυσίωσις</grk> arrogance
G5451	<grk>φυτεία</grk> plant
G5452	<grk>φυτεύω</grk> to plant
G5453	<grk>φύω</grk> to grow
G5454	<grk>φωλεός</grk> den
G5455	<grk>φωνέω</grk> to call
G5456	<grk>φωνή</grk> voice/sound
G5457	<grk>φῶς</grk> light
G5458	<grk>φωστήρ</grk> light
G5459	<grk>φωσφόρος</grk> light-bearing
G5460	<grk>φωτεινός</grk> bright
G5461	<grk>φωτίζω</grk> to illuminate
G5462	<grk>φωτισμός</grk> light
G5463	<grk>χαίρω</grk> to rejoice
G5464	<grk>χάλαζα</grk> hail
G5465	<grk>χαλάω</grk> to lower
G5466	<grk>Χαλδαῖος</grk> Chaldean
G5467	<grk>χαλεπός</grk> harsh
G5468	<grk>χαλιναγωγέω</grk> to bridle
G5469	<grk>χαλινός</grk> bridle
G5470	<grk>χάλκεος</grk> bronze
G5471	<grk>χαλκεύς</grk> coppersmith
G5472	<grk>χαλκηδών</grk> chalcedony
G5473	<grk>χαλκίον</grk> kettle
G5474	<grk>χαλκολίβανος</grk> bronze
G5475	<grk>χαλκός</grk> copper/bronze/coin
G5476	<grk>χαμαί</grk> on the ground
G5477	<grk>Χαναάν</grk> Canaan
G5478	<grk>Χανααναῖος</grk> Canaanite
G5479	<grk>χαρά</grk> joy
G5480	<grk>χάραγμα</grk> image/mark
G5481	<grk>χαρακτήρ</grk> reproduction
G5482	<grk>χάραξ</grk> barricade
G5483	<grk>χαρίζω</grk> to give grace
G5484	<grk>χάριν</grk> therefore
G5485	<grk>χάρις</grk> grace
G5486	<grk>χάρισμα</grk> gift
G5487	<grk>χαριτόω</grk> to favor
G5488	<grk>Χαρράν</grk> Haran
G5489	<grk>χάρτης</grk> paper
G5490	<grk>χάσμα</grk> chasm
G5491	<grk>χεῖλος</grk> lip
G5492	<grk>χειμάζω</grk> be storm-tossed
G5493	<grk>χείμαρρος</grk> brook
G5494	<grk>χειμών</grk> winter
G5495	<grk>χείρ</grk> hand
G5496	<grk>χειραγωγέω</grk> to lead by the hand
G5497	<grk>χειραγωγός</grk> hand-leader
G5498	<grk>χειρόγραφος</grk> writen record
G5499	<grk>χειροποίητος</grk> hand-made
G5500	<grk>χειροτονέω</grk> to appoint
G5501	<grk>χείρων</grk> worse than
G5502	<grk>χερουβίμ</grk> Cherub
G5503	<grk>χήρα</grk> widow
G5504	<grk>χθές</grk> yesterday
G5505	<grk>χιλιάς</grk> thousand
G5506	<grk>χιλίαρχος</grk> military officer
G5507	<grk>χίλιοι</grk> thousand
G5508	<grk>Χίος</grk> Chios
G5509	<grk>χιτών</grk> tunic
G5510	<grk>χιών</grk> snow
G5511	<grk>χλαμύς</grk> robe
G5512	<grk>χλευάζω</grk> to sneer
G5513	<grk>χλιαρός</grk> lukewarm
G5514	<grk>Χλόη</grk> Chloe
G5515	<grk>χλωρός</grk> green
G5516	<grk>χξϛ</grk> 666
G5517	<grk>χοϊκός</grk> made of dust
G5518	<grk>χοῖνιξ</grk> quart
G5519	<grk>χοῖρος</grk> pig
G5520	<grk>χολάω</grk> be angry
G5521	<grk>χολή</grk> gall
G5522	<grk>χόος</grk> dust
G5523	<grk>Χοραζίν</grk> Chorazin
G5524	<grk>χορηγέω</grk> to provide
G5525	<grk>χορός</grk> a dance
G5526	<grk>χορτάζω</grk> to feed
G5527	<grk>χόρτασμα</grk> food
G5528	<grk>χόρτος</grk> grass
G5529	<grk>Χουζᾶς</grk> Chuza
G5530	<grk>χράω</grk> to use
G5531	<grk>χράω</grk> to lend
G5532	<grk>χρεία</grk> need
G5533	<grk>χρεωφειλέτης</grk> debtor
G5534	<grk>χρή</grk> it should be
G5535	<grk>χρῄζω</grk> to need
G5536	<grk>χρῆμα</grk> money
G5537	<grk>χρηματίζω</grk> to announce
G5538	<grk>χρηματισμός</grk> proclamation
G5539	<grk>χρήσιμος</grk> profitable
G5540	<grk>χρῆσις</grk> relations
G5541	<grk>χρηστεύομαι</grk> be kind
G5542	<grk>χρηστολογία</grk> smooth talk
G5543	<grk>χρηστός</grk> good/kind
G5544	<grk>χρηστότης</grk> kindness
G5545	<grk>χρῖσμα</grk> anointing
G5546	<grk>Χριστιανός</grk> Christian
G5547	<grk>Χριστός</grk> Christ
G5548	<grk>χρίω</grk> to anoint
G5549	<grk>χρονίζω</grk> to delay
G5550	<grk>χρόνος</grk> time
G5551	<grk>χρονοτριβέω</grk> to spend time
G5552	<grk>χρύσεος</grk> golden
G5553	<grk>χρυσίον</grk> gold
G5554	<grk>χρυσοδακτύλιος</grk> gold-ringed
G5555	<grk>χρυσόλιθος</grk> chrysolite
G5556	<grk>χρυσόπρασος</grk> chrysoprase
G5557	<grk>χρυσός</grk> gold
G5558	<grk>χρυσόω</grk> to gild
G5559	<grk>χρώς</grk> skin
G5560	<grk>χωλός</grk> lame
G5561	<grk>χώρα</grk> country
G5562	<grk>χωρέω</grk> to make room for
G5563	<grk>χωρίζω</grk> to separate/leave
G5564	<grk>χωρίον</grk> place
G5565	<grk>χωρίς</grk> without
G5566	<grk>χῶρος</grk> northwest
G5567	<grk>ψάλλω</grk> to sing praise
G5568	<grk>ψαλμός</grk> psalm
G5569	<grk>ψευδάδελφος</grk> false brother
G5570	<grk>ψευδαπόστολος</grk> false apostle
G5571	<grk>ψευδής</grk> false
G5572	<grk>ψευδοδιδάσκαλος</grk> false teacher
G5573	<grk>ψευδολόγος</grk> lying
G5574	<grk>ψεύδομαι</grk> to lie
G5575	<grk>ψευδομάρτυρ</grk> false witness
G5576	<grk>ψευδομαρτυρέω</grk> to perjure
G5577	<grk>ψευδομαρτυρία</grk> false testimony
G5578	<grk>ψευδοπροφήτης</grk> false prophet
G5579	<grk>ψεῦδος</grk> lie
G5580	<grk>ψευδόχριστος</grk> false Christ
G5581	<grk>ψευδώνυμος</grk> falsely called
G5582	<grk>ψεῦσμα</grk> falsehood
G5583	<grk>ψεύστης</grk> liar
G5584	<grk>ψηλαφάω</grk> to touch
G5585	<grk>ψηφίζω</grk> to calculate
G5586	<grk>ψῆφος</grk> stone/vote
G5587	<grk>ψιθυρισμός</grk> gossip
G5588	<grk>ψιθυριστής</grk> gossip
G5589	<grk>ψιχίον, ψίξ</grk> crumb
G5590	<grk>ψυχή</grk> soul
G5591	<grk>ψυχικός</grk> natural
G5592	<grk>ψῦχος</grk> cold
G5593	<grk>ψυχρός</grk> cold
G5594	<grk>ψύχω</grk> to cool
G5595	<grk>ψωμίζω</grk> to feed/dole out
G5596	<grk>ψωμίον</grk> piece
G5597	<grk>ψώχω</grk> to rub
G5598	<grk>Ὦ</grk> Omega
G5599	<grk>ὦ</grk> oh!
G5600	<grk>ὦ</grk> may be
G5601	<grk>Ὠβήδ</grk> Obed
G5602	<grk>ὧδε</grk> here
G5603	<grk>ᾠδή</grk> song
G5604	<grk>ὠδίν</grk> labor
G5605	<grk>ὠδίνω</grk> be in labor
G5606	<grk>ὦμος</grk> shoulder
G5607	<grk>ὤν</grk> being
G5608	<grk>ὠνέομαι</grk> to buy
G5609	<grk>ᾠόν</grk> an egg
G5610	<grk>ὥρα</grk> hour
G5611	<grk>ὡραῖος</grk> beautiful/timely
G5612	<grk>ὠρύομαι</grk> to roar
G5613	<grk>ὡς</grk> which/how
G5614	<grk>ὡσαννά</grk> Hosanna!
G5615	<grk>ὡσαύτως</grk> likewise
G5616	<grk>ὡσεί</grk> like/as/about
G5617	<grk>Ὡσηέ</grk> Hosea
G5618	<grk>ὥσπερ</grk> just as
G5619	<grk>ὡσπερεί</grk> just as if
G5620	<grk>ὥστε</grk> so
G5621	<grk>ὠτίον</grk> ear
G5622	<grk>ὠφέλεια</grk> advantage
G5623	<grk>ὠφελέω</grk> to help
G5624	<grk>ὠφέλιμος</grk> valuable
G6000	<grk>ἀγγέλλω</grk> to announce
G6001	<grk>ἄγγος</grk> vessel
G6002	<grk>Ἀδμίν</grk> Adminan
G6003	<grk>ἀθροίζω</grk> to assemble
G6004	<grk>ἀλλαχοῦ</grk> elsewhere
G6005	<grk>ἀμφιέζω</grk> to clothe
G6006	<grk>ἀμφιβάλλω</grk> to cast
G6007	<grk>ἄμωμον</grk> amomum
G6008	<grk>ἀναπηδάω</grk> to jump up
G6011	<grk>βελόνη</grk> needle
G6013	<grk>γένημα</grk> product
G6014	<grk>δεκαοκτώ</grk> eighteen
G6015	<grk>δέος</grk> fear
G6016	<grk>διακαθαίρω</grk> to scour
G6017	<grk>διαχλευάζω</grk> to deride
G6018	<grk>διενθυμέομαι</grk> to ponder
G6019	<grk>δισμυριάς</grk> two-myriad
G6020	<grk>δοκιμασία</grk> examination
G6022	<grk>δυσφημέω</grk> to slander
G6023	<grk>ἐγκακέω</grk> be discouraged
G6025	<grk>εἵνεκεν</grk> because
G6027	<grk>ἐκζήτησις</grk> speculation
G6028	<grk>ἐκθαυμάζω</grk> be amazed
G6029	<grk>ἐκπερισσῶς</grk> exceedingly
G6030	<grk>ἐκπηδάω</grk> to rush out
G6031	<grk>ἐλεγμός</grk> rebuke
G6032	<grk>ἐμπαιγμονή</grk> derision
G6033	<grk>ἔνθεν</grk> hence
G6034	<grk>ἐνορκίζομαι</grk> to adjure
G6035	<grk>ἐπάρατος</grk> accursed
G6036	<grk>ἐπεισέρχομαι</grk> to enter
G6037	<grk>ἐπισπείρω</grk> to sow above
G6039	<grk>εὐθύμως</grk> cheerfully
G6041	<grk>ζηλεύω</grk> to envy
G6043	<grk>Ἰωδά</grk> Joda
G6044	<grk>Ἰωσήχ</grk> Josech
G6045	<grk>καθώσπερ</grk> as
G6046	<grk>καταβαρύνω</grk> to burden
G6047	<grk>καταγράφω</grk> to delineate
G6048	<grk>καταδίκη</grk> judgment
G6049	<grk>κατακύπτω</grk> to stoop
G6050	<grk>κατευλογέω</grk> to bless
G6051	<grk>κατήγωρ</grk> an accuser
G6052	<grk>κατοικίζω</grk> to settle
G6053	<grk>κατωτέρω</grk> lower
G6055	<grk>κλινάριον</grk> a cot
G6058	<grk>κρυφαῖος</grk> hidden
G6059	<grk>κυκλεύω</grk> encompass
G6060	<grk>μετατρέπω</grk> to turn around
G6061	<grk>μύλινος</grk> mill
G6063	<grk>οἶδα</grk> to know
G6064	<grk>οἰκετεία</grk> household
G6065	<grk>οἰκοδόμος</grk> builder
G6066	<grk>ὀλιγοπιστία</grk> little faith
G6067	<grk>ὀλίγως</grk> scarcely
G6068	<grk>ὀμίχλη</grk> fog
G6069	<grk>πανταχῆ</grk> everywhere
G6070	<grk>παρεμβάλλω</grk> to encamp
G6071	<grk>περαιτέρω</grk> further
G6072	<grk>περιάπτω</grk> to kindle
G6073	<grk>πραϋπαθία</grk> gentleness
G6074	<grk>προπάτωρ</grk> ancestor
G6075	<grk>προσαίτης</grk> a beggar
G6076	<grk>προσκλίνω</grk> to lean toward
G6077	<grk>Πύρρος</grk> Pyrrhus
G6078	<grk>πρώτως</grk> originally
G6079	<grk>σιτίον</grk> food
G6080	<grk>συγγενίς</grk> relative
G6081	<grk>συμπίπτω</grk> be downcast
G6083	<grk>σύνοιδα</grk> to be conscious of
G6084	<grk>Τιτίος</grk> Titius
G6085	<grk>τρῆμα</grk> hole
G6087	<grk>ὑπερεκπερισσοῦ</grk> superabundantly
G6088	<grk>ὑπερλίαν</grk> greatly
G6090	<grk>ὠτάριον</grk> ear
G6091	<grk>δύσις</grk> sunset
G6092	<grk>ἐκβαίνω</grk> to_step_out
G6093	<grk>σιρός</grk> pit
G6094	<grk>αὐχέω</grk> to_boast
G6095	<grk>Ἀρνὶ</grk> Arni
G6096	<grk>ἀποπληρόω</grk> satisfy
G6097	<grk>θρύπτω</grk> break
G6098	<grk>καταπίμπρημι</grk> burnt
G6099	<grk>ξαίνω</grk> to comb
G6100	<grk>ἀβασίλευτος</grk> independent
G6101	<grk>ἄβατος</grk> impassable
G6102	<grk>ἀβατόω</grk> to make impassable
G6103	<grk>ἀβοήθητος</grk> incurable
G6104	<grk>ἀβουλία</grk> thoughtlessness
G6105	<grk>ἅβρα</grk> handmaiden
G6106	<grk>ἀβροχία</grk> drought
G6107	<grk>ἀγαθόω</grk> to do good
G6108	<grk>ἀγαθύνω</grk> be better
G6109	<grk>ἀγαθῶς</grk> fine
G6110	<grk>ἀγαλλίαμα</grk> a leap for joy
G6111	<grk>ἄγαλμα</grk> a statue
G6112	<grk>αγανώθ</grk> cups
G6113	<grk>ἀγάπησις</grk> affection
G6114	<grk>ἁγίασμα</grk> sanctification
G6115	<grk>ἁγιαστήριον</grk> sanctuary
G6116	<grk>ἀγκαλίς</grk> an arm
G6117	<grk>ἀγκύλη</grk> a loop
G6118	<grk>ἀγκών</grk> an angle
G6119	<grk>ἀγκωνίσκος</grk> a joint
G6120	<grk>ἅγνισμα</grk> purification
G6121	<grk>ἄγνος</grk> a chaste tree
G6122	<grk>ἄγονος</grk> barren
G6123	<grk>ἀγορασμός</grk> a purchase
G6124	<grk>ἀγριαίνω</grk> be wild
G6125	<grk>ἀγριοβάλανος</grk> holm oak
G6126	<grk>ἀγριομυρίκη</grk> tamarisk
G6127	<grk>ἄγροικος</grk> rugged
G6128	<grk>ἄγρωστις</grk> wild grass
G6129	<grk>ἀγχιστεία</grk> right of inheritance
G6130	<grk>ἀγχιστεύς</grk> a relative
G6131	<grk>ἀγχιστεύω</grk> to act as next of kin
G6132	<grk>ἄγχω</grk> to squeeze
G6133	<grk>ἀδαμάντινος</grk> adamantine
G6134	<grk>ἀδάμας</grk> adamant
G6135	<grk>Ἄδαρ</grk> adar
G6136	<grk>ἄδειπνος</grk> supperless
G6137	<grk>ἀδελφιδός</grk> a kinsman
G6138	<grk>ἀδιάλυτος</grk> reinforced
G6139	<grk>ἀδολεσχέω</grk> to meditate
G6140	<grk>ἀδολεσχία</grk> meditation
G6141	<grk>ἀδοξέω</grk> be despised
G6142	<grk>ἁδρός</grk> stout
G6143	<grk>ἁδρύνω</grk> to mature
G6144	<grk>ἀδυναμία</grk> powerlessness
G6145	<grk>ἀέναος</grk> everlasting
G6146	<grk>ἀεργός</grk> idle
G6147	<grk>ἀηδία</grk> rancor
G6148	<grk>Αθανιν</grk> Athanim
G6149	<grk>ἀθεσία</grk> rebellion
G6150	<grk>ἀθέτημα</grk> a disregarding
G6152	<grk>ἀθυμία</grk> depression
G6153	<grk>ἄθυτος</grk> unfit
G6154	<grk>ἀθῳόω</grk> to acquit
G6155	<grk>αιδέδ</grk> acclamation
G6156	<grk>αἰδέομαι</grk> to stand in awe
G6157	<grk>αἰδοῖος</grk> genitals
G6158	<grk>αἰθάλη</grk> soot
G6159	<grk>αἴθριος</grk> open air
G6160	<grk>αιλ</grk> a portal
G6161	<grk>αιλάμ</grk> porch
G6162	<grk>αιλαμμών</grk> pediment
G6163	<grk>αἱμωδιάω</grk> to have tooth-chills
G6164	<grk>αἰνετός</grk> praiseworthy
G6165	<grk>αἴνη</grk> praise
G6166	<grk>αἰνιγματιστής</grk> enigma speaker
G6167	<grk>αἴξ</grk> a goat
G6168	<grk>αἰπόλιον</grk> a flock of goats
G6169	<grk>αἰπόλος</grk> a herder
G6170	<grk>αἱρετός</grk> preferred
G6171	<grk>αἰσθητικός</grk> sensitive
G6172	<grk>αἰσχρῶς</grk> disgracefully
G6173	<grk>αἴτησις</grk> requesting
G6174	<grk>αἰτιάομαι</grk> to blame
G6175	<grk>αἰτίωμα</grk> accusation
G6176	<grk>αἰχμαλωτίς</grk> a captive
G6177	<grk>ἀκακία</grk> innocence
G6178	<grk>ἄκαν</grk> a thorn
G6179	<grk>ἀκάρδιος</grk> heartless
G6180	<grk>ἀκατάποτος</grk> impotable
G6181	<grk>ἀκατασκεύαστος</grk> unready
G6182	<grk>ἀκατέργαστος</grk> unfinished
G6183	<grk>ἄκαυστος</grk> inextinguishable
G6184	<grk>ἀκηδία</grk> indifference
G6185	<grk>ἀκηδιάω</grk> be discouraged
G6186	<grk>ἀκιδωτός</grk> pointed
G6187	<grk>ἀκίνητος</grk> fixed
G6188	<grk>ἀκίς</grk> a point
G6189	<grk>ἄκλητος</grk> uncalled
G6190	<grk>ἀκμή</grk> at this moment
G6191	<grk>ἄκμων</grk> anvil
G6192	<grk>ἀκόλαστος</grk> unrestrained
G6193	<grk>ἀκονάω</grk> to sharpen
G6194	<grk>ἀκοντίζω</grk> to shoot
G6195	<grk>ἀκοντιστής</grk> a shooter
G6196	<grk>ἄκοσμος</grk> unbecoming
G6197	<grk>ἀκουσιάζομαι</grk> to act unintentionally
G6198	<grk>ἀκούσιος</grk> unintentional
G6199	<grk>ἀκουσίως</grk> unintentionally
G6200	<grk>ἀκουστός</grk> audible
G6201	<grk>ἀκουτίζω</grk> to cause to hear
G6202	<grk>ἄκρα</grk> Akra
G6203	<grk>ἀκριβασμός</grk> restriction
G6204	<grk>ἀκροάομαι</grk> to hear
G6205	<grk>ἀκρόασις</grk> a hearing
G6206	<grk>ἀκρόβυστος</grk> uncircumcised
